Date,Open,High,Low,Close
Thursday,2024-03-28,5248.03,5264.85,5245.82,5254.35
Wednesday,2024-03-27,5226.31,5249.26,5213.92,5248.49
Tuesday,2024-03-26,5228.85,5235.16,5203.42,5203.58
Monday,2024-03-25,5219.52,5229.09,5216.09,5218.19
Friday,2024-03-22,5242.48,5246.09,5229.87,5234.18
Thursday,2024-03-21,5253.43,5261.1,5240.66,5241.53
Wednesday,2024-03-20,5181.69,5226.19,5171.55,5224.62
Tuesday,2024-03-19,5139.09,5180.31,5131.59,5178.51
Monday,2024-03-18,5154.77,5175.6,5145.47,5149.42
Friday,2024-03-15,5123.31,5136.86,5104.35,5117.09
Thursday,2024-03-14,5175.14,5176.85,5123.3,5150.48
Wednesday,2024-03-13,5173.49,5179.14,5151.88,5165.31
Tuesday,2024-03-12,5134.3,5179.87,5114.48,5175.27
Monday,2024-03-11,5111.96,5124.66,5091.14,5117.94
Friday,2024-03-08,5164.46,5189.26,5117.5,5123.69
Thursday,2024-03-07,5132.38,5165.62,5128.21,5157.36
Wednesday,2024-03-06,5108.03,5127.97,5092.22,5104.76
Tuesday,2024-03-05,5110.52,5114.54,5056.82,5078.65
Monday,2024-03-04,5130.99,5149.67,5127.18,5130.95
Friday,2024-03-01,5098.51,5140.33,5094.16,5137.08
Thursday,2024-02-29,5085.36,5104.99,5061.89,5096.27
Wednesday,2024-02-28,5067.2,5077.37,5058.35,5069.76
Tuesday,2024-02-27,5074.6,5080.69,5057.29,5078.18
Monday,2024-02-26,5093.0,5097.66,5068.91,5069.53
Friday,2024-02-23,5100.92,5111.06,5081.46,5088.8
Thursday,2024-02-22,5038.83,5094.39,5038.83,5087.03
Wednesday,2024-02-21,4963.03,4983.21,4946.0,4981.8
Tuesday,2024-02-20,4989.32,4993.71,4955.02,4975.51
Friday,2024-02-16,5031.13,5038.7,4999.52,5005.57
Thursday,2024-02-15,5003.14,5032.72,4999.44,5029.73
Wednesday,2024-02-14,4976.44,5002.52,4956.45,5000.62
Tuesday,2024-02-13,4967.94,4971.3,4920.31,4953.17
Monday,2024-02-12,5026.83,5048.39,5016.83,5021.84
